GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
FCRL6_LST1,BLVRB_KIAA0125,CDA_NCF2,HOPX_TCL1A
PDLIM1_PTPRCAP,IL32_RPL21,FCRL6_PTPRCAP,MS4A1_PKIG
FCRL6_LYZ,CD79B_CD8B,P2RX5_TCL1A,CST7_HLA-DOB
P2RX5_TCL1A,MATK_NKG7,HLA-C_RPS12,CTSW_FCRLA
CTSS_IL7R,GZMA_RPS18,FGFBP2_PDLIM1,KIAA0125_P2RX5
NKG7_PRF1,CD247_S100A4,CHST12_HLA-DQA1,FTL_S100A4
CYBA_PPAPDC1B,B2M_RPL13A,CD79A_P2RX5,BLK_MS4A1
PDLIM1_S100A6,PDLIM1_PTPRCAP,CD2_CD8B,GZMM_TIGIT
RPL13_RPL23A,CD247_LST1,BLK_GNG7,SAMD3_TIGIT
LYZ_TALDO1,FCER1G_RPS25,LYAR_MARCH1,C12orf75_KIAA0125
CD40_LCK,CD79A_PTPRCAP,CST7_TSPAN13,PKIG_SAMD3
CD14_S100A9,OAZ1_TYROBP,RPL13A_RPL3,LINC00926_P2RX5
ISG20_TYROBP,HLA-DQA1_HLA-DRA,LTB_SH2D1A,LYZ_S100A9
RPL21_RPS3A,CD8B_TSPAN13,CST7_FCER2,CST7_SAMD3
CD40_GNG7,AP1S2_MATK,GZMK_LAG3,FTH1_FTL
AIF1_CTSS,HLA-DQA1_S100A8,CD8A_SH2D2A,FCRL6_P2RX5
CCR7_PPAPDC1B,FTH1_LGALS2,C12orf75_TCL1A,BLK_PDLIM1
RPL10_RPL18A,CD68_LAG3,GZMH_SNX2,KIAA0125_MS4A1
CD3D_LCK,PKIG_RPS12,RPL14_RPS13,FCRLA_PRF1
FCRLA_KIAA0125,HLA-DMB_HLA-DPA1,CD247_CD3E,LINC00926_MATK
AIF1_CHST12,HOPX_NCR3,AC092580.4_NCR3,HLA-DOB_KIAA0125
RPS20_SH2D1A,CD68_RPL21,RPL3_RPL36,CD79A_MATK
RPL32_RPS6,AIF1_RPS18,B2M_S100A9,FGFBP2_MATK
HLA-E_SH2D1A,CTSW_KIAA0125,CXCR4_IL32,GZMM_HLA-DOB
GZMM_TSPAN13,HLA-DRB1_LGALS2,CXCR4_HLA-DMB,GZMK_PKIG
GZMH_OAZ1,HLA-DQA2_HLA-DQB1,CD2_LTB,CST7_TIGIT
CYBA_SPIB,CD72_TCL1A,GZMH_SMIM14,FCRLA_MS4A1
CD79B_KIAA0125,CTSS_RPL32,LAG3_SH2D2A,GZMK_KLRG1
CD99_PPAPDC1B,FTH1_LDHB,AC092580.4_KLRG1,CST7_PDLIM1
CD8A_NCR3,RPL18A_RPS3,RPL5_RPS12,CST7_PRF1
NCF2_SPIB,OAZ1_RPS3,CD40_CXCR4,CD72_CD8A
CD247_GZMH,CD74_HLA-DRB5,LDHB_NCR3,CD8A_FCER2
CD2_LAG3,PPAPDC1B_RPS6,HVCN1_TSPAN13,CD8B_TSPAN13
S100A9_TALDO1,PTPRCAP_RPL9,FCER2_TSPAN13,CD79A_PDLIM1
CD74_HLA-DMB,FCER2_IL32,HVCN1_P2RX5,CST7_GZMM
AIF1_NPC2,COTL1_FTL,CD40_CYB561A3,KIAA0125_SAMD3
LY86_PDLIM1,CST3_S100A4,RPS4X_RPS6,FCRL6_GZMA
RPLP0_RPLP2,HLA-DPB1_HLA-DQA2,CHST12_GZMH,CD8A_GZMA
FCRLA_PKIG,RPL10_RPL32,CD72_MS4A1,PKIG_PRF1
BLK_CCL5,MALAT1_S100A6,GZMA_NKG7,FCER2_LAG3
FGFBP2_OAZ1,FCRLA_TCL1A,EEF1A1_RPS13,BLK_GZMH
