GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
RPL10_SH2D2A,RPL21_RPLP2,FCRLA_P2RX5,CCL5_PRF1
CDA_HCST,AC092580.4_GZMA,CD2_CYB561A3,CCL5_FGFBP2
RPL18A_RPLP2,RPS28_S100A11,CD72_P2RX5,CDA_TYROBP
HLA-DPB1_NEAT1,CD68_S100A11,CEBPD_LGALS2,LGALS3_NCF2
CXCR4_TCL1A,GRN_RPL13A,C12orf75_CTSW,GZMA_LYAR
LCK_RPL30,RPS14_RPS23,CYB561A3_LYAR,CD74_HLA-DPA1
KLRG1_SAMD3,CDA_LGALS2,RPS11_RPS3,CCL4_CD8A
CD72_FTL,CD79A_CDA,IL7R_RARRES3,AIF1_LGALS3
RPS10_RPS27A,HLA-DPB1_HLA-DRA,FGFBP2_SAMD3,AIF1_CFP
HLA-DQA1_RPS11,HLA-DOB_LGALS1,GZMH_TSPO,CDA_HLA-DPA1
RPL13_RPS6,CD2_CDA,RPS27_TPT1,CFP_SERPINA1
COTL1_S100A9,OAZ1_TSPO,RPL30_RPL9,FCN1_MS4A6A
HLA-DPA1_SAMD3,FCER1G_SERPINA1,GZMM_SAMD3,CFD_TYROBP
RPL13_RPLP0,CD3E_HLA-DPB1,PNOC_RARRES3,GZMH_MATK
RPL23A_SAMD3,AIF1_CFP,RPL10_RPL35A,CD14_GRN
FGFBP2_RPS3A,CEBPD_TYROBP,CD8B_SH2D2A,CEBPD_LGALS3
CD8A_GZMM,SH2D1A_TYROBP,CD2_CD8A,FCN1_SPI1
CFP_FCER1G,BLVRB_CST3,CD14_S100A9,PRF1_TIGIT
EAF2_RPL10A,CXCR4_TIGIT,APMAP_NOSIP,GZMM_MATK
MS4A1_RPS23,LGALS2_TYMP,PDLIM1_SAMD3,GZMH_GZMM
HLA-B_RPL3,EEF1A1_RPL5,HLA-B_RPS10,CD74_LGALS3
NCF2_TYROBP,BRI3_CFP,CTSW_P2RX5,LAG3_PRF1
AP1S2_SAMD3,CST7_CXCR4,HCST_MS4A6A,FCN1_SERPINA1
PRF1_SH2D1A,CD74_HLA-DQA1,FCRLA_PKIG,HLA-DRA_LGALS3
CTSS_RPL30,BLVRB_LGALS1,LCK_SH2D1A,CD8B_GZMM
LGALS2_S100A9,HLA-E_SERPINA1,CD2_LAG3,HLA-DRA_SERPINA1
CD40_HOPX,FCN1_LGALS3,ARPC5L_HOPX,CST3_LGALS1
CTSS_EEF1A1,CFP_LGALS2,CD99_KLRG1,CD14_HLA-DRB1
S100A4_S100A6,C12orf75_CCL5,FGFBP2_HLA-DOB,FCN1_S100A11
RPL31_RPS13,LGALS1_SERPINA1,CFP_GZMH,LGALS3_LST1
CD79A_RPL36,AIF1_LGALS2,C12orf75_P2RX5,GZMH_NKG7
CTSS_RPS15A,AIF1_FCER1G,RPL14_RPSA,IL32_TIGIT
PPAPDC1B_RPL14,CD68_HLA-DRA,HLA-DOB_VPREB3,CCL4_FCRL6
RPL27A_TPT1,LGALS2_MS4A6A,RPL9_RPS27,CST3_TYMP
HLA-A_RPS10,LGALS2_SPI1,CCL4_P2RX5,GZMH_SH2D2A
CDA_SERPINA1,CD247_CFD,PPAPDC1B_SH2D2A,BRI3_SPI1
RPL30_RPS6,CDA_RPS15A,LCK_SPIB,CD14_S100A8
AC092580.4_S100A8,CD247_CD3D,GZMK_KLRG1,LGALS3_TYMP
RPLP2_S100A9,RPL13A_RPS13,AP1S2_FCRL6,CD8A_SH2D2A
CD74_HLA-DQA1,RPL13A_TIGIT,GZMM_PKIG,CCL4_CTSW
RPL11_RPS5,ARPC5L_RPL10,LDHB_NOSIP,CFD_HLA-DRB1
ARPC5L_PSAP,CTSW_FGFBP2,CD40_LCK,CDA_HLA-DPB1
AIF1_CD8A,RPS25_SPI1,CD8B_RARRES3,KLRG1_PRF1
CFD_CFP,CD74_FTH1,KLRG1_LAG3,CD74_LGALS2
RPL35A_RPS3,RARRES3_TIGIT,AC092580.4_CD8B,CTSW_GZMM
GZMA_RPS5,CD14_MS4A6A,CD72_GZMM,SERPINA1_TYROBP
RPL13A_RPLP2,CFD_HLA-DRA,AC092580.4_KLRG1,CD8A_MS4A6A
CD72_RPS25,B2M_HLA-DQB1,APMAP_CD99,CTSW_MATK
CEBPD_PYCARD,IL32_RPL23A,ARPC5L_IL7R,BRI3_LST1
RPL11_RPL30,CD74_CYBA,APMAP_GZMK,CD3E_TIGIT
GZMH_S100A8,CD79B_RPS27A,RPS20_RPS6,CD247_TIGIT
BLVRB_CST3,CD3D_GRN,NCF2_RAC1,CST7_GZMH
RPL13_RPL32,RPL31_RPS13,GZMK_PPAPDC1B,BRI3_TYMP
RPL10A_RPL14,PKIG_RPL27A,LYAR_NOSIP,SAMD3_TIGIT
CFP_LST1,GZMH_RPS18,GZMK_LYAR,HCST_KLRG1
GRN_SERPINA1,HLA-DRA_RPS12,LYAR_SH2D2A,CEBPD_MS4A6A
CHST12_TIGIT,CD247_MS4A6A,P2RX5_TSPAN13,FCER1G_HLA-DRB1
RPL36_RPS3,CD79A_HLA-DQA1,NOSIP_PPAPDC1B,CD74_MS4A6A
LGALS2_SERPINA1,RPL10_RPS13,NCF2_SERPINA1,CD68_SERPINA1
CD68_TYROBP,HLA-DRB1_TCL1A,MATK_NKG7,CD14_SPI1
APMAP_NKG7,LST1_NPC2,ARPC5L_PNOC,FGFBP2_SAMD3
LTB_RPS15A,CD3E_RPL32,CCL5_GZMA,CCL5_GZMH
CST7_NOSIP,FTH1_SERPINA1,RPS10_RPS27A,CFD_S100A9
RPS3A_SAMD3,CFD_TKT,LCK_MARCH1,CD14_TYMP
NCF2_RPS27A,AP1S2_CD247,AP1S2_GZMH,CD2_SH2D1A
CD14_HLA-DRA,CCL4_CFP,RPL36_RPLP2,CTSW_KLRG1
AP1S2_CD247,MS4A1_RPS3A,NOSIP_PNOC,CFP_FCER1G
HLA-B_TPT1,CDA_S100A11,P2RX5_PRF1,CFP_HLA-DRA
